pl_name,pl_orbper,pl_insol,pl_eqt,pl_rade,pl_bmasse,pl_orbeccen,st_teff,st_met,is_habitable,esi_score,hz_flux_ratio,in_habitable_zone,density_proxy,temp_delta_earth,stellar_class,star_G,star_Hot,star_K,star_M,esi_computed
mu2 Sco b,379064.645726,0.1074,159.05,12.3,4576.7290608,0.56,21700.0,-0.0452,0,0.18944658,0.1074,0,2.4594605959480176,95.94999999999999,Hot,False,True,False,False,0.2204
Kepler-9 c,38.9853,18.903,523.0,8.08,29.9,0.06691,5774.0,0.05,0,0.16129908,18.903,0,0.056680948091868286,268.0,G,True,False,False,False,0.3756
HD 219828 b,3.83483,1095.4885,1602.83,4.59,19.06970442,0.091,5891.0,0.19,0,0.16109141,1095.4885,0,0.1971995433544746,1347.83,G,True,False,False,False,0.1567
OGLE-TR-113 b,1.4324752,528.4147,1342.0,12.251,400.449,0.0,4790.0,0.09,0,0.07426639,528.4147,0,0.21778732160443537,1087.0,K,False,False,True,False,0.1165
HD 156279 c,4818.25358,0.0237,109.42,12.5,3098.82696825,0.261,5453.0,0.14,0,0.096992578,0.0237,0,1.586599407744,145.57999999999998,G,True,False,False,False,0.1719
Kepler-1041 b,24.7576421,117.956,644.0,2.94,8.96,0.0,5957.0,0.01,0,0.22354228,117.956,0,0.3525867749108066,389.0,G,True,False,False,False,0.3584
Kepler-877 b,18.45847097,37.81,632.0,2.12,5.14,0.0,5261.0,-0.06,0,0.2964191,37.81,0,0.5394553893482539,377.0,K,False,False,True,False,0.4336
KIC 10525077 b,854.083,7.3432,256.22799999999995,5.5,25.9,0.1444,6091.0,-0.04,0,0.4353328,7.3432,0,0.1556724267468069,1.2279999999999518,F,False,False,False,False,0.569
HD 135694 b,15.923475568,71.8,750.83,2.857,6.1,0.0,5712.0,-0.121,0,,71.8,0,0.26157673454838937,495.83000000000004,G,True,False,False,False,0.3625
K2-70 b,13.97896,62.0,783.99,2.89,8.7,0.0,5622.0,0.06,0,0.254373,62.0,0,0.360433977423327,528.99,G,True,False,False,False,0.3439
TIC 237913194 b,15.168865,83.3856,974.0,12.520453,617.22586,0.575,5788.0,0.14,0,0.081578253,83.3856,0,0.3144734510221877,719.0,G,True,False,False,False,0.1553
Kepler-1578 b,1.450886907,1486.438,1700.0,1.04,1.12,0.0,5545.0,-0.13,0,0.29405161,1486.438,0,0.9956759217114247,1445.0,G,True,False,False,False,0.2143
WASP-84 c,1.4468849,1452.18,1329.0,1.95,15.2,0.009,5280.0,0.0,0,,1452.18,0,2.0499334108801563,1074.0,K,False,False,True,False,0.1843
TOI-776 c,15.665323,4.9,420.0,2.047,6.9,0.089,3725.0,-0.21,0,0.47520414,4.9,0,0.8044435293929091,165.0,M,False,False,False,True,0.6011
Kepler-212 b,16.257582,133.866,830.0,1.09,1.32,0.0,5852.0,0.22,0,0.30254629,133.866,0,1.0192821936806047,575.0,G,True,False,False,False,0.3956
Kepler-1577 b,6.30560247,57.751,1125.0,1.13,1.51,0.0,4862.0,0.0,0,0.31576022,57.751,0,1.0465057450393205,870.0,K,False,False,True,False,0.3551
Kepler-55 d,2.211099,195.005,931.0,1.59,3.15,0.0,4503.0,-0.01,0,0.28137757,195.005,0,0.7836446641634816,676.0,K,False,False,True,False,0.3272
HD 27894 b,18.01939,22.7604,627.88,14.1,196.73578393,0.047,4875.0,0.3,0,0.10807794,22.7604,0,0.0701820455575925,372.88,K,False,False,True,False,0.2537
Kepler-1700 b,234.239,2.2,329.0,2.90129941,8.76,0.0,6031.0,0.07,0,0.54218798,2.2,0,0.3586959367544038,74.0,F,False,False,False,False,0.6708
TOI-2093 b,12.836,19.5345,535.0,3.25,10.6,0.0,4426.0,-0.08,0,,19.5345,0,0.3087847064178425,280.0,K,False,False,True,False,0.4467
HD 45364 b,225.79,1.3804,301.69,9.03,60.16491745,0.067,5466.0,-0.17,0,0.4294816,1.3804,1,0.08171091508586116,46.69,G,True,False,False,False,0.5193
EPIC 212499991 b,34.885,12.7851,430.4,1.6,3.19,0.0032,4982.79,-0.09,0,0.43009429,12.7851,0,0.7788085937499998,175.39999999999998,K,False,False,True,False,0.6079
